gene,row
MAD1L1,1132
MAD2L1,1133
MAD2L2,1134
MAF,1135
MAFB,1136
MAGI2,1137
MALAT1,1138
MAP2K1,1139
MAP2K3,1140
MAP2K4,1141
MAP2K5,1142
MAP2K6,1143
MAP3K1,1144
MAP3K11,1145
MAP3K12,1146
MAP3K14,1147
MAP3K2,1148
MAP3K20,1149
MAP3K3,1150
MAP3K4,1151
MAP3K5,1152
MAP3K6,1153
MAP3K7,1154
MAP3K8,1155
MAP4K1,1156
MAP4K2,1157
MAP4K3,1158
MAP4K4,1159
MAPK10,1160
MAPK11,1161
MAPK12,1162
MAPK13,1163
MAPK14,1164
MAPK3,1165
MAPK7,1166
MAPK8,1167
MAPK8IP1,1168
MAPK8IP2,1169
MAPK8IP3,1170
MAPK9,1171
MAPKAPK2,1172
MAPKAPK3,1173
MAPKAPK5,1174
MAPT,1175
MAT2A,1176
MAX,1177
MBD2,1178
MBD4,1179
MBL2,1180
MCM2,1181
MCM3,1182
MCM4,1183
MCM5,1184
MCM6,1185
MCM7,1186
MCM8,1187
MDM2,1188
MDM4,1189
ME1,1190
MECOM,1191
MED12,1192
MED17,1193
MED23,1194
MED24,1195
MEF2C,1196
MEFV,1197
MEN1,1198
MET,1199
MFNG,1200
MGLL,1201
MGMT,1202
MICA,1203
MICB,1204
MIF,1205
MITF,1206
MKL1,1207
MKNK1,1208
MKNK2,1209
MLF1,1210
MLH1,1211
MLH3,1212
MLL,1213
MLLT10,1214
MLLT11,1215
MLLT3,1216
MLLT4,1217
MLLT6,1218
MLST8,1219
MMP1,1220
MMP16,1221
MMP2,1222
MMP25,1223
MMP3,1224
MMP7,1225
MMP9,1226
MNAT1,1227
MNDA,1228
MNX1,1229
MOS,1230
MPG,1231
MRAS,1232
MRE11,1233
MS4A2,1234
MSH2,1235
MSH3,1236
MSH6,1237
MSI2,1238
MSN,1239
MSR1,1240
MTCP1,1241
MUC1,1242
MUC20,1243
MYC,1244
MYCN,1245
MYD88,1246
MYH10,1247
MYH11,1248
MYH14,1249
MYL12A,1250
MYL12B,1251
MYL2,1252
MYL5,1253
MYL7,1254
MYL9,1255
MYLK,1256
MYLK2,1257
MYLK3,1258
MYO5A,1259
MYOD1,1260
NAB2,1261
NACA,1262
NANOG,1263
NAP1L1,1264
NBN,1265
NCAM1,1266
NCF2,1267
NCK1,1268
NCK2,1269
NCKAP1,1270
NCKIPSD,1271
NCOA1,1272
NCOA2,1273
NCOA3,1274
NCOA4,1275
NCOR1,1276
NCOR2,1277
NCR1,1278
NCR2,1279
NCR3,1280
NDRG1,1281
NDST1,1282
NECTIN1,1283
NECTIN2,1284
NECTIN3,1285
NECTIN4,1286
NEDD4L,1287
NEIL1,1288
NEIL2,1289
NEIL3,1290
NF1,1291
NFAT5,1292
NFATC1,1293
NFATC2,1294
NFATC3,1295
NFATC4,1296
NFE2L1,1297
NFE2L2,1298
NFKB1,1299
NFKB2,1300
NFKBIA,1301
NFKBIB,1302
NFKBID,1303
NFKBIZ,1304
NFRKB,1305
NFX1,1306
NGF,1307
NGFR,1308
NIN,1309
NKD1,1310
NKD2,1311
NKX2-1,1312
NKX3-1,1313
NLK,1314
NLRC4,1315
NLRP3,1316
NMI,1317
NOD1,1318
NODAL,1319
NOG,1320
NONO,1321
NOS2,1322
NOS3,1323
NOTCH3,1324
NOTCH4,1325
NOX1,1326
NOX4,1327
NPM1,1328
NR1H3,1329
NR2F2,1330
NR4A1,1331
NR4A2,1332
NRG1,1333
NRG2,1334
NRG3,1335
NRG4,1336
NSD1,1337
NT5C2,1338
NTF3,1339
NTF4,1340
NTHL1,1341
NTN4,1342
NTRK1,1343
NTRK2,1344
NTRK3,1345
NUMA1,1346
NUP107,1347
NUP93,1348
NUP98,1349
NUTM1,1350
NUTM2A,1351
OGG1,1352
OLR1,1353
OMD,1354
ORC2,1355
ORC3,1356
ORC4,1357
ORC5,1358
ORC6,1359
ORM1,1360
ORM2,1361
OSM,1362
OSMR,1363
P2RX7,1364
P2RY8,1365
PABPC1,1366
PABPC3,1367
PAK1,1368
PAK3,1369
PAK4,1370
PAK5,1371
PAK6,1372
PALB2,1373
PARD3,1374
PARD6A,1375
PARP1,1376
PARP2,1377
PARP3,1378
PARVA,1379
PARVB,1380
PARVG,1381
PAX3,1382
PAX5,1383
PAX8,1384
PBX1,1385
PCBP1,1386
PCDH18,1387
PCK1,1388
PCK2,1389
PCM1,1390
PCNA,1391
PCSK5,1392
PCSK6,1393
PCSK7,1394
PDCD1,1395
PDCD1LG2,1396
PDE4DIP,1397
PDGFA,1398
PDGFC,1399
PDGFRB,1400
PDHA1,1401
PDHA2,1402
PDHB,1403
PDK1,1404
PDPK1,1405
PDPN,1406
PER1,1407
PERP,1408
PF4,1409
PF4V1,1410
PFKL,1411
PFKM,1412
PFKP,1413
PGAM1,1414
PGAM2,1415
PGAM4,1416
PGF,1417
PGK1,1418
PGK2,1419
PGM1,1420
PGM2,1421
PGR,1422
PHF6,1423
PHLPP1,1424
PIAS1,1425
PIAS2,1426
PIAS3,1427
PIAS4,1428
PICALM,1429
PIDD1,1430
PIK3AP1,1431
PIK3C2A,1432
PIK3C2B,1433
PIK3C2G,1434
PIK3C3,1435
PIK3CD,1436
PIK3CG,1437
PIK3R1,1438
PIK3R2,1439
PIK3R3,1440
PIK3R4,1441
PIK3R5,1442
PIK3R6,1443
PIP5K1A,1444
PIP5K1C,1445
PITX2,1446
PKLR,1447
PKM,1448
PKMYT1,1449
PLA2G10,1450
PLA2G12A,1451
PLA2G12B,1452
PLA2G1B,1453
PLA2G2A,1454
PLA2G2C,1455
PLA2G2D,1456
PLA2G2E,1457
PLA2G2F,1458
PLA2G3,1459
PLA2G4A,1460
PLA2G4B,1461
PLA2G4C,1462
PLA2G4E,1463
PLA2G5,1464
PLA2G6,1465
PLA2G7,1466
PLAG1,1467
PLCB1,1468
PLCB2,1469
PLCB3,1470
PLCB4,1471
PLCG1,1472
PLCG2,1473
PLD1,1474
PLEKHO2,1475
